house_quarterly_growth,house_twelve_month_growth,house_average_annual_growth,house_number_of_sales,unit_quarterly_growth,unit_twelve_month_growth,unit_average_annual_growth,unit_number_of_sales,suburb_id
+17.60,+20.83,+9.24,19,,,,1,1219
,,,4,,,,2,2023
-3.48,+7.37,+4.10,18,,,,2,10160
+34.78,,+24.71,11,,,,0,875
,,,5,,,,,8305
+13.10,+24.24,+10.67,13,,,,0,3142
+2.23,+39.14,+15.68,49,+3.21,+13.45,+10.14,23,5944
-0.39,+7.41,+8.16,26,0.00,+16.30,+2.07,90,1217
-0.64,+14.33,+5.70,87,-2.33,+10.53,+4.02,13,1809
-0.93,+18.59,+6.76,72,+1.99,+27.95,+4.74,62,3051
+6.67,+26.05,+7.91,33,,,,0,5301
+6.58,+21.26,+7.76,125,+10.74,+28.29,+3.19,20,5089
-0.19,+13.91,+5.42,184,+2.42,+19.86,+1.74,44,2778
+6.08,+15.66,+9.97,131,+4.05,+35.37,+12.18,7,3800
+8.93,+15.64,+2.47,36,,,,0,12643
+1.93,+21.92,,21,,,,0,7122
,,,7,,,,0,8677
0.00,+2.63,+10.74,17,-1.38,,,5,11003
,,,1,,,,0,6499
+1.67,+11.72,+14.20,32,,,+4.39,11,10844
+0.34,+6.73,+3.12,66,-5.08,-5.51,+2.66,62,9087
+2.30,+15.99,+5.21,37,,,,6,1362
+3.46,+44.16,+12.26,61,+0.76,+20.09,+7.98,16,1354
,,,5,,,,0,3845
+3.38,+10.70,+7.84,138,+8.85,+4.31,+6.90,44,8202
+3.99,+9.79,+5.46,97,,,,7,12299
-0.82,+24.70,+8.99,32,,,,0,7176
+11.51,+47.80,+10.35,37,+1.69,+18.81,+6.40,158,3361
,,,1,,,,,9598
,,,0,,,,0,9683
,,,5,,,,,3286
0.00,+26.53,+7.10,46,,,,3,1290
+12.11,+49.59,+18.94,33,+10.19,+48.75,+18.24,35,2582
+2.70,+18.75,+14.39,197,+1.59,+12.28,+8.28,21,10409
+1.93,+34.77,+9.55,165,+1.74,+8.00,+2.17,245,5841
+9.48,+19.66,+9.48,18,,,,6,7255
+9.09,+17.07,+4.89,95,,,,7,5644
,,,0,,,,0,9945
-1.58,+43.85,+3.17,8,,,,2,3147
+4.86,+30.17,+12.44,14,,,,0,9096
