house_quarterly_growth,house_twelve_month_growth,house_average_annual_growth,house_number_of_sales,unit_quarterly_growth,unit_twelve_month_growth,unit_average_annual_growth,unit_number_of_sales,suburb_id
,,,0,,,,0,11830
,,,1,,,,,665
-0.36,+6.26,,13,,,,,7908
,,,0,,,,,10651
-1.60,+31.55,+12.53,13,,,,0,3214
+6.17,+15.16,+7.37,26,-1.54,,,13,9791
+0.37,+12.44,+2.87,32,,,,0,4305
,,,0,-1.33,+5.48,+2.91,12,1795
+13.64,+25.10,+8.17,27,,,,3,2439
,,,4,,,,,8512
+0.37,+17.37,+4.22,80,+16.03,-1.10,,8,12826
+0.85,+22.92,+11.25,117,+2.63,,,9,346
-15.68,+36.00,,23,,,,0,7566
+0.74,+15.87,+7.55,123,,,,4,1954
,,,2,,,,,11309
+8.92,+27.44,+9.48,191,+2.73,-8.33,,16,7474
+0.87,+9.70,+7.41,73,-5.53,-1.59,+5.11,12,9490
-1.81,+14.83,+8.41,12,,,,0,2601
-6.99,+10.12,+4.52,93,-4.97,-3.55,+1.92,131,1227
+11.71,+28.63,+14.14,59,,,,1,10739
+5.71,+29.82,+7.73,67,,,,6,6085
+1.59,+45.89,+13.77,18,,,,0,2665
+6.67,+24.00,+7.04,107,,,,0,7446
+1.37,+24.52,+6.79,155,-3.30,-2.22,-2.70,85,12483
0.00,+11.11,+4.35,137,-1.55,+0.40,-1.07,425,284
+1.75,+16.00,+3.99,52,,,,0,4721
,,,7,,,,0,464
+0.43,+21.03,+7.00,197,-1.35,-1.75,+0.11,468,3052
+1.54,+14.78,+11.97,116,-0.55,+25.35,+13.84,222,4592
+1.87,+17.03,+4.67,122,+0.15,+1.33,-1.48,350,1799
-1.29,+2.20,+8.85,29,,,,0,10735
+3.99,+4.29,+15.19,29,,,,0,8539
,,,10,-0.99,0.00,+0.20,707,4531
+7.08,+20.74,+16.90,20,,,,0,8860
+3.23,+23.08,+14.28,58,,,,1,365
+2.92,+9.67,+3.62,146,,,,7,11800
+4.39,+18.90,+9.06,137,+2.58,+10.49,+13.01,39,9868
-3.08,+7.08,+2.10,168,-0.98,-12.35,+0.79,147,12117
,,,4,,,,,1178
+7.59,+26.61,+7.83,124,+13.13,+6.26,+1.65,11,7926
+0.88,+21.42,+7.86,23,,,,9,7271
+1.12,+20.97,+9.95,195,-10.00,+18.03,+0.57,23,393
+1.25,+6.58,+0.50,163,,,,7,11624
+0.69,+29.46,+9.45,54,-1.69,+34.10,+11.75,7,125
,,,2,,,,,2614
+9.46,+24.62,+12.73,37,0.00,+26.15,+6.45,40,6228
,,,1,,,,0,9165
+1.95,+20.19,+4.41,60,,,,2,6706
+2.67,+35.09,+10.14,304,+3.27,+18.03,+4.99,148,4650
+7.49,+38.13,+10.12,88,+1.16,+16.31,+1.50,31,6329
+11.98,+44.83,+4.20,63,,,,6,1724
,,,2,,,,,841
0.00,+12.08,+6.59,21,-2.46,,-1.04,8,5462
+3.75,+16.90,+9.62,735,+3.65,+26.81,+10.61,158,10468
,,,0,,,,,9746
-2.50,+5.32,+5.17,83,0.00,+4.65,+5.46,19,11264
+1.04,+33.87,+10.35,106,+3.89,+16.23,+3.25,161,4254
+3.41,+23.40,+6.99,19,-1.66,+2.01,+2.35,26,7880
,,,2,,,,,5400
+0.78,+10.73,+5.60,92,+2.33,,,14,11881
-2.50,+15.46,+5.39,83,-2.66,,+8.84,13,2773
+1.40,+22.36,+6.37,29,+2.55,+12.80,+3.47,37,7511
0.00,+7.48,+1.59,46,,,,2,12380
+2.86,+24.71,+6.45,47,,,,9,7624
,,,0,,,,0,9280
+6.98,+28.25,+10.52,81,+4.48,+39.20,+13.46,17,6337
+20.04,+38.36,,15,,,,0,11144
,,,3,,,,,1464
+4.29,+36.45,+15.19,17,,,,1,144
+1.61,+13.72,+5.81,45,,,,1,11643
0.00,+16.07,+9.65,254,+1.15,+17.33,+14.41,20,9035
+1.85,+25.00,+13.19,242,+10.66,+35.47,+9.64,75,4593
,,,0,,,,,10613
+5.26,+19.21,+8.89,43,,,,1,7806
+3.06,+17.44,+8.71,53,,,,0,884
+4.17,+26.36,+15.24,112,,,+18.49,6,11001
,,,9,,,,,1128
+7.25,+37.16,+8.16,201,+2.65,+18.37,,24,8021
+3.53,-5.00,+2.53,41,+1.10,,,8,8181
+3.69,+31.53,+2.19,29,,,,6,12554
,,,1,,,,,6807
-19.63,-2.22,+6.91,17,,,,0,10853
+0.77,+27.78,+8.16,21,+2.56,+19.05,,11,8037
+4.89,+19.49,+5.28,40,,,,1,7937
+2.27,+17.61,+7.39,833,+2.60,+8.33,+7.14,136,9226
,,,4,,,,0,7258
+20.00,+39.20,,16,,,,4,11775
+2.48,+14.19,+2.50,66,-5.54,-8.57,+2.94,48,10509
,,,2,,,,0,10664
+15.54,+22.14,-2.60,12,,,,,7045
,,,7,,,,0,4950
+1.56,+25.15,+9.66,55,+3.74,,,6,2038
+14.01,+31.51,+8.45,65,+10.50,+40.23,-3.60,16,6241
,,,7,,,,0,2602
+14.38,+30.84,+19.09,23,,,,1,9827
+11.46,+37.95,+13.77,22,0.00,-18.03,+5.25,13,7434
+3.29,+34.52,+11.27,215,+2.56,+13.21,+2.51,37,4664
+5.34,+19.81,+9.89,32,-3.25,+1.36,+16.31,61,14
+12.00,+26.32,+13.05,15,0.00,+38.19,+15.70,16,2447
+3.23,+19.25,+12.66,70,,,,3,12321
,,,2,-2.31,+22.25,+4.59,131,1321
-0.34,+23.24,+10.29,54,,,,3,7933
-0.20,-0.82,+3.77,28,+5.70,-39.05,+1.63,12,10074
-0.54,+9.58,+14.89,192,-14.57,-19.49,+14.63,34,5832
+4.28,+23.03,+13.95,85,-2.05,+14.55,+12.33,111,270
+3.92,,,6,,,,0,8515
+4.77,+28.42,+5.31,160,+9.17,+22.90,,16,6126
,,,1,,,,,5951
+1.89,+12.50,+6.26,414,0.00,+7.76,+8.25,13,10641
-8.24,-18.00,+0.13,33,0.00,-5.56,-9.60,25,3655
+1.61,+36.96,+6.03,64,,,,4,12907
,,,4,,,,0,1291
-0.64,+17.67,,11,,,,0,3653
+1.07,+24.14,+10.15,113,0.00,+25.53,+9.26,31,50
,,,7,,,,0,9586
+2.25,+13.75,+10.20,44,+2.52,+12.87,+4.43,127,53
+3.62,+32.61,+8.63,53,,,,5,5761
+5.50,+20.57,+5.56,241,+0.85,+16.86,+0.55,58,5299
0.00,+35.29,,17,,,,0,11194
+6.58,+23.68,,11,,,,0,1971
,,,4,,,,0,3867
+1.06,+12.42,+5.39,6,,,,0,6695
+7.78,+45.86,+24.68,6,,,,0,2478
+6.45,+29.41,+10.48,77,,,,7,8143
+8.70,+30.21,+11.05,43,+0.28,,-5.25,12,4813
-7.62,+4.71,+2.13,67,-2.04,-0.30,+3.47,207,156
-8.12,+0.34,+0.33,74,,,,5,12222
+5.52,+18.29,+4.29,90,,,,0,12265
,,,2,,,,5,7801
+4.17,+17.05,+6.15,68,+11.43,+11.43,,13,12403
+8.06,+8.94,+2.65,61,+13.37,+20.12,,12,4570
+2.45,+26.46,+12.07,93,,,,9,502
+8.39,+29.60,+14.34,152,-1.68,+4.10,+4.00,53,4336
0.00,+21.35,+13.40,29,+7.23,+14.10,+10.31,43,76
,,,1,,,,,10161
+5.00,+20.86,+10.07,631,+10.17,+33.20,+8.41,119,10974
0.00,+14.45,+9.28,28,,,,1,1934
-0.12,-0.24,+2.29,23,0.00,0.00,+3.78,22,9333
-0.82,-2.49,+4.43,123,+2.49,-7.28,-1.40,166,9077
+6.51,+28.87,+4.54,25,,,,0,1697
,,,2,,,,,10958
+9.23,+41.29,+14.92,80,,,,0,5199
+5.77,+41.03,+11.22,167,+5.66,+31.76,+7.71,112,6124
+0.99,+8.06,+7.29,99,+0.75,+5.28,+7.92,13,9626
+2.73,+18.18,+6.03,97,+2.87,0.00,+4.61,26,910
+0.29,+7.86,+3.52,15,,,,0,1647
+2.09,+31.26,+12.40,43,,,,2,9144
+10.28,+39.81,+10.32,77,0.00,,,8,7278
+0.25,+27.17,+13.82,166,+4.59,+16.92,+10.89,66,8625
+9.11,+24.54,+15.66,103,0.00,+5.84,-0.37,347,5288
+2.89,+16.05,+7.98,197,-1.97,+6.56,+7.85,30,10433
+6.54,+39.68,+9.46,36,+0.95,+16.72,+3.48,69,1278
+0.79,+5.31,+2.19,111,-16.48,,-1.02,17,12258
-4.62,+6.98,+2.70,134,-3.00,+9.09,+3.10,103,10877
+8.14,+29.77,+6.93,83,,,,0,4952
,,,5,,,,0,2353
+6.10,+35.94,,11,,,,0,11627
0.00,+29.63,+9.68,27,,,,0,1285
-3.47,-22.78,,12,,,,0,11888
+2.58,+6.55,+3.95,188,,,,1,4253
+4.10,+19.81,+1.65,307,-0.44,,,8,5480
,,,4,,,,,4440
+0.45,+18.18,+6.10,115,,,,4,3204
+3.42,+26.64,+7.67,52,,,,4,1983
+4.07,+31.18,+8.71,195,+8.06,+31.37,+3.29,57,6442
+6.33,+30.29,+12.86,10,,,,4,960
0.00,+31.70,+9.49,45,+6.61,-16.67,-5.40,15,2218
,,,4,,,,0,3018
+3.87,+8.19,+6.56,82,+1.05,+6.67,,27,6227
,,,5,,,,,5129
,,,2,,,,1,7452
+8.45,+40.00,+9.69,36,,,,0,5647
+4.87,+21.21,+6.75,55,-1.25,-30.00,-2.70,19,12726
,,,3,,,,0,3750
,,,3,,,,,6588
,,,5,,,,,8344
-2.60,+13.64,+10.66,21,,,,5,9536
+3.00,+10.29,+2.71,160,+3.23,+1.56,-4.21,14,11552
,,,3,,,,,5403
-0.35,+5.48,+5.46,77,+0.17,-0.50,+5.09,58,9989
+4.62,+43.16,+14.14,58,+2.87,+27.40,+10.27,36,8809
,,,4,,,,,1805
-15.76,-3.24,+7.97,17,,,,0,1486
-2.40,,,12,,,,0,6705
+5.65,+24.94,+12.06,69,+0.22,+11.72,+9.90,244,3503
+0.76,+4.76,+8.45,688,+1.71,+7.46,+6.63,107,11078
,,,0,,,,0,10647
+7.65,,,10,0.00,+6.93,+6.14,223,2624
0.00,,,10,,,,0,3166
+20.37,+14.54,+3.78,31,,,,5,12243
+3.53,+5.39,+4.15,64,,,,3,12929
,,,0,,,,0,2242
+4.59,+12.87,+6.17,125,,,,0,11352
-0.00,+17.65,+6.46,33,,,,2,3875
,,,2,,,,,12370
0.00,+17.10,+15.06,13,,,,0,10759
+5.06,+35.00,+9.90,375,+4.89,+20.78,+7.60,352,6279
+3.39,+20.83,+4.65,118,0.00,+7.91,+2.97,16,2842
+2.57,+30.82,+11.17,178,0.00,+31.37,+15.09,17,2647
,,,6,,,,,6277
+3.86,+43.29,+10.59,130,+7.61,+26.84,+6.69,152,4662
+6.88,+40.48,+12.60,29,0.00,+30.67,+11.68,10,64
+5.17,+40.77,+14.18,29,+7.69,+37.38,+12.11,147,4625
-2.91,+0.40,+2.13,23,+7.44,+7.19,+10.51,16,11004
+1.60,+12.72,+4.81,98,-5.59,+12.46,+2.90,19,1398
+2.85,+30.19,+8.95,86,,,,4,3482
,,,4,,,,,3553
+0.84,+17.75,+5.54,236,+0.81,+7.75,+1.91,48,3108
+7.28,+32.51,+8.37,129,-1.38,+11.60,+2.42,46,7150
+6.68,+38.17,+9.32,67,+0.99,+18.27,+8.71,12,3391
+0.20,+22.22,+6.95,123,-2.36,+22.88,+3.10,75,3037
+7.75,+25.18,+8.35,18,+2.40,+17.97,+3.27,10,236
+2.86,+24.86,+7.65,25,+0.52,+13.53,+1.40,100,4219
0.00,-16.13,+10.66,13,,,,0,11510
+5.29,+25.38,+8.01,88,,,,0,7384
+1.64,+3.48,+6.87,137,0.00,+25.50,+9.80,23,7379
+2.89,+6.05,+1.85,101,+1.22,+7.10,-4.36,22,4231
+0.79,+17.86,+11.10,166,-6.56,-6.26,-0.48,98,3499
0.00,,,7,,,,0,604
+13.68,+21.63,+11.05,49,,,,2,10443
,,,5,,,,,1714
+1.56,+9.24,+4.32,77,,,,0,12054
+1.80,+13.60,+7.33,111,+2.77,+13.54,+9.60,11,392
+3.06,+34.50,+10.39,76,+7.46,+17.78,+5.39,83,7816
+2.47,+46.98,+13.43,49,,,,0,2985
+7.12,+23.78,+12.36,71,,,,3,735
+1.36,+36.04,+10.87,30,,,,0,4338
+1.33,+23.26,+7.80,49,,,,8,2633
+2.62,+28.75,+10.36,91,,,,5,369
+5.68,+49.72,+13.77,40,+21.93,+32.13,+13.01,13,103
-6.22,+11.65,+4.39,86,+0.94,+4.13,-0.30,143,768
+10.71,+27.31,+6.11,73,,,,8,5560
+25.74,+36.27,+10.12,31,0.00,+9.95,-0.57,16,7512
+9.49,+31.06,+11.59,61,,,,7,5505
-1.73,+48.55,+14.68,74,,,,2,5051
+4.35,+30.81,-8.46,70,,,,4,864
+27.82,+48.81,+9.12,28,,,,0,7995
+2.37,+7.46,+6.16,15,,,,1,3220
+1.17,+39.69,+17.09,42,,,,4,3419
+2.06,+25.69,+6.84,156,-2.42,+1.31,+4.75,66,7612
+6.81,+30.67,+12.37,22,,,,0,1444
0.00,+10.00,+3.30,23,,,,2,3271
,,+15.66,10,,,,0,5906
+12.24,+22.22,+5.92,101,,,,1,5141
+2.36,+34.72,+10.14,54,-12.98,-34.73,-9.80,20,1220
,,,2,,,,0,12495
+0.88,+29.81,+9.87,116,+1.57,+7.78,+1.14,78,4645
+2.29,+25.99,+12.89,61,,,,2,861
-2.46,,,9,,,,0,8403
+0.75,+34.67,+13.17,25,,,,0,3923
-4.37,+26.96,+2.56,44,0.00,+6.34,-0.28,50,2094
+4.62,+19.26,+11.26,66,0.00,+6.02,+7.97,20,9422
-0.90,+0.23,+8.92,30,,,,1,386
-7.26,+12.63,+11.08,19,,,,2,361
,,,7,,,,0,7702
-0.92,+0.56,,3,,,,1,10681
-0.43,+15.71,+4.94,39,,,,0,219
+2.27,-3.29,+4.84,18,+1.57,+10.07,-0.61,306,3960
+5.13,+14.48,+8.39,19,,,,0,3279
+4.68,+21.79,+14.58,25,+17.82,+32.61,+16.02,11,3325
,,,0,,,,0,9862
+1.74,+33.59,+17.47,72,+6.25,+39.57,+13.90,66,2085
+9.00,+17.84,+8.05,48,,,,9,4731
+6.99,+19.88,+6.39,34,,,,2,12131
+4.08,+35.28,+9.77,17,0.00,+34.21,+12.37,17,1682
+4.26,+18.00,+9.59,93,,,,0,6677
+13.83,+46.17,+1.77,34,,,,0,11669
,,,2,,,,,7981
+1.29,+23.56,+10.62,119,0.00,+30.30,+10.64,25,1841
,,,2,,,,0,1856
+8.63,+7.03,+9.63,17,,,,1,11214
+1.43,+34.39,+12.00,80,-5.88,,+6.64,9,11379
-2.77,+18.70,+6.73,104,+14.47,+46.67,+2.86,17,355
+3.37,+14.71,+2.33,177,+2.31,+23.78,-1.41,42,11601
,,,0,,,,0,9110
+1.27,+38.89,+16.12,32,,+23.38,,9,672
+12.50,,+8.42,13,,,,0,3944
-0.53,+17.30,+18.05,56,,,,1,8492
-0.26,+19.41,+7.27,47,-4.15,+9.47,-0.13,22,12910
0.00,+5.56,+2.25,106,+16.34,+16.76,-2.49,15,11909
+3.07,+10.17,+6.25,51,-22.76,-23.54,+5.48,32,10203
+2.20,+28.01,+10.16,33,,,,3,10185
+0.53,+16.70,+15.11,101,+1.27,+15.89,+13.24,41,8451
,,,2,,,,0,10410
-10.13,-1.39,+3.42,8,,,,1,291
+7.35,+16.14,+3.75,78,,,,0,6829
-0.78,+31.28,+8.28,20,,,+3.24,13,3320
0.00,+25.14,+8.42,33,-3.30,-0.11,+2.18,41,2406
+13.63,+24.77,+13.19,41,,,,4,8088
+1.87,+23.03,+3.30,16,,,,6,3943
+2.09,+16.57,+4.90,129,+0.11,+8.79,+2.30,48,2089
,,,3,,,,0,12278
+7.87,+32.08,+11.12,180,+3.20,+17.75,+4.85,285,4805
+7.22,+22.50,+9.59,323,+12.22,+15.18,+9.55,52,3315
+4.88,+26.47,+9.45,567,+4.40,+17.57,+7.39,94,2556
+17.65,+18.18,+7.63,129,-11.03,-13.57,-4.21,18,12672
+2.42,+23.18,+10.84,122,+0.80,+14.29,+2.75,41,1273
,,,3,+8.02,+6.32,+10.79,19,2350
0.00,+5.26,+3.65,95,+2.55,+10.42,+0.62,115,11409
,,,2,,,,,6550
+7.21,+26.58,+9.25,78,+1.77,+19.08,+4.28,20,4994
-2.86,+12.68,+8.19,23,,,,0,3022
-13.75,+8.95,+0.93,27,-8.86,+3.20,+6.08,10,9648
-9.62,+11.58,,15,,,,1,12415
-3.16,+4.43,+3.84,393,+0.29,+6.92,+5.53,332,9608
,,,3,,,,0,2704
+1.80,+21.56,+10.99,95,+3.02,+3.02,+3.33,64,3647
,,,0,,,,,2104
,,,3,,,,0,2896
-0.71,+10.11,+10.59,121,+4.85,+11.57,+2.05,249,5383
+4.16,+31.38,+6.23,41,-1.19,-17.00,-5.13,61,12859
,,,8,,,,,3450
,,,0,,,,0,9965
+5.73,+14.89,+9.51,55,,,,2,5040
,,,1,,,,0,1216
+8.93,+23.23,+4.48,42,,,,2,8073
+5.06,+22.96,+6.01,27,,,,0,7156
0.00,+8.59,+9.85,46,-6.89,-18.86,-0.23,35,79
0.00,+12.26,+1.09,12,+1.00,+36.49,+4.51,14,11761
+2.04,+12.36,+2.59,132,,,,2,11526
,,,1,,,,0,9956
+2.56,+19.50,+13.94,44,+4.91,+27.03,+10.14,15,8848
+1.23,+11.41,+2.07,331,,,,7,4588
+5.71,+50.00,+14.94,56,+15.00,+34.42,+13.48,20,3255
+4.72,+24.44,+11.82,62,,,,4,9601
0.00,+38.46,+9.57,51,,,,0,4902
+2.30,+6.71,+3.76,295,,,,4,11582
+3.60,+18.31,+9.06,28,+1.61,+9.67,+10.39,27,24
+2.78,+12.12,,15,,,,0,12049
+5.68,+28.38,+7.88,71,+6.73,+31.81,+4.88,18,8011
,,,3,,,,0,8356
+4.69,+9.15,+11.80,128,+7.47,+9.57,+13.02,62,12585
+5.67,+26.80,+8.30,140,+0.68,+3.52,+3.32,25,5762
+6.78,+24.75,+12.47,39,,,,0,9083
+3.04,+15.61,+8.86,79,,,,0,9235
-5.07,+14.80,+7.65,23,+6.25,,,23,7013
+4.56,+28.03,+9.06,168,+7.00,+20.48,+4.13,40,8019
,,,1,,,,0,4696
+7.82,+19.69,+14.15,29,+5.63,+6.01,+13.64,18,8626
,,,2,,,,,162
,,,4,,,,0,439
+8.97,+33.65,+22.04,16,,,,2,8587
+3.65,+25.66,+8.65,35,,,,0,6411
+5.31,+30.85,+10.28,456,+5.57,+22.03,+4.28,181,5461
,,,5,,,,,2284
-0.76,+9.07,+14.14,12,,,,0,9946
+10.34,+11.30,+1.79,15,,,,,7505
,,,0,,,,,11320
,,,2,,,,0,8576
-10.21,+25.91,+6.89,9,,,,0,3281
-3.66,+23.44,+7.32,97,+7.08,+25.25,+1.34,97,4735
,,,1,,,,,8996
+3.68,+39.74,+11.32,78,+7.39,+31.33,+11.59,99,3489
,,,3,0.00,+2.08,-1.05,245,3816
,,,4,,,,0,2258
+9.08,+21.37,+7.26,36,,,,0,2133
-1.13,+22.36,+9.16,30,-2.96,-14.12,+3.31,7,2057
,+29.78,+11.43,7,,,,0,8851
+3.50,+26.89,+9.03,193,+3.69,+22.71,+3.40,24,3388
+1.04,+15.48,+15.59,35,,,,0,9525
,,,2,,,,,2296
+9.64,+47.92,+13.29,29,-9.68,,,9,7026
-0.50,+3.24,+2.97,288,+0.63,+6.91,+5.20,69,10585
+2.67,+6.94,+2.52,107,+17.65,,+3.86,15,5223
,,,1,,,,,3508
+6.13,+41.69,+5.40,16,,,,0,6013
+8.92,+33.16,+8.90,134,+9.04,+28.93,+5.05,49,4226
+4.40,+32.25,+10.76,172,+8.09,+31.25,+5.78,96,4404
+0.97,+14.79,+3.94,58,-3.94,+6.35,+9.02,55,9803
-0.60,+8.96,+5.59,41,,,,0,12829
-1.72,+13.28,+4.62,57,,,,3,12703
+5.41,+31.54,,13,0.00,,,11,7436
+5.48,+0.54,+2.97,107,,,,4,7492
-4.80,+5.31,+10.57,20,,,,0,6143
+5.00,+29.63,+8.19,53,0.00,+27.45,+6.21,13,3794
+2.61,+31.84,+11.01,246,+0.30,+15.73,+7.00,74,3524
+5.30,+27.81,+9.84,244,+9.41,+21.30,+6.36,110,6891
+7.81,+23.21,+5.26,155,+3.59,+16.89,+2.10,14,6458
0.00,+6.52,+3.78,103,,,,2,12381
-1.46,+7.69,+8.87,21,-8.33,-4.45,+8.62,18,8752
+4.83,+12.59,+5.02,369,-2.42,+11.90,+5.12,32,5519
+0.40,+20.89,+8.17,47,,,,1,6937
+7.07,+28.48,+13.61,117,+9.50,+34.30,+10.02,31,10263
+1.72,+40.48,+12.09,33,,,,0,4221
+5.00,+3.96,+7.20,48,+1.07,+15.90,+5.50,162,4211
0.00,+42.53,+20.41,23,,,,0,2562
+1.21,+21.67,+9.86,36,,,,0,4689
-1.01,+22.50,+9.29,13,,,,0,10248
-1.47,+7.61,+4.56,132,-2.27,+2.63,+3.33,47,11258
+3.91,+30.12,+8.09,29,,,,8,4932
,,,6,,,,,8658
+2.54,+24.74,+9.60,79,+11.86,+25.59,+12.15,9,23
+1.60,+1.60,,8,,,,0,2530
-0.83,+8.11,+4.12,112,+0.66,+0.66,+1.75,56,10728
-0.19,+2.76,+1.40,42,-2.83,-0.33,-3.04,138,12523
+1.62,+11.78,+2.25,85,0.00,+17.12,-1.12,31,12609
+2.61,+21.52,+11.40,118,+6.04,+11.76,+11.36,42,9995
,,,3,,,,0,5627
,,,6,,,,5,7639
+2.45,+10.15,+9.28,20,,,,0,10418
-3.30,+4.79,+4.90,56,,,,3,11337
+4.84,+28.71,+6.03,41,,,,,5235
+9.69,+32.29,+11.05,28,,,,1,11461
+6.30,+23.12,+9.01,128,+4.03,+9.41,+1.11,37,5796
+1.46,+22.36,+14.64,336,-9.89,-14.05,+10.32,20,10922
0.00,,,3,,,,1,3300
0.00,+14.11,+1.38,32,,,,6,10949
+0.91,+20.13,+6.35,23,+6.17,+5.91,+1.76,223,6432
+1.75,,,5,,,,,6480
,,,2,,,,0,844
+6.25,,,11,,,,0,3475
+17.95,+35.29,+13.15,61,+2.75,,+4.24,15,6334
+4.65,+38.06,+13.87,30,+9.62,+25.27,,16,2239
-8.59,+1.69,+1.38,115,-2.30,+2.69,+2.05,161,2953
+3.04,+1.23,+2.91,30,,,,1,8204
,,,2,,,,,3606
0.00,+28.00,+10.51,53,,,,5,41
-3.08,+17.32,+11.83,52,,,,1,10567
+7.47,+30.73,+7.54,194,+7.34,,,15,5656
+0.23,+17.46,+7.73,84,+4.98,+28.04,+7.51,15,3645
+1.38,,+10.85,11,,,,0,353
,,,0,,,,,5106
-6.93,+28.36,+9.82,17,-0.40,+16.32,+5.57,26,997
,,,1,,,,,3232
0.00,+8.77,+2.35,107,0.00,+19.44,+8.27,46,12126
+5.31,+46.94,,9,,,,8,7532
+3.96,+20.00,+25.05,27,+11.54,+36.79,,19,31
+5.14,+24.72,+9.15,53,0.00,,+6.92,10,7822
0.00,-32.11,,10,-2.27,+0.76,-2.18,47,878
0.00,+8.04,+6.92,90,+1.28,+19.19,+0.10,53,11628
+8.03,+21.74,+6.77,61,+1.88,-7.03,-1.20,104,7913
-2.38,+8.67,+5.86,118,-2.94,+0.80,+5.40,60,9541
+6.83,+32.31,+7.01,42,+1.92,+2.91,,9,7522
+3.33,+17.72,+9.43,29,,,,3,7621
+34.04,+47.06,+19.92,25,,,,0,9467
+9.52,+25.23,+6.34,462,+7.60,+7.60,+1.64,38,6739
,,,2,,,,0,9107
-3.83,+15.79,+7.50,54,,,,0,2394
+21.77,+14.58,+9.99,10,,,,0,1627
+2.80,+32.27,+6.23,77,,,,0,959
+1.89,+6.93,+3.95,45,,,,1,6238
,,,0,,,,4,1390
+3.53,+31.17,+12.64,71,,,,3,10892
-0.91,+27.00,+15.42,42,,,,4,10825
,,,2,,,,0,9550
0.00,,,8,,,,0,4303
,,,2,,,,,10181
+20.43,+25.91,+10.92,12,,,,0,1691
+1.22,+8.13,+3.50,40,,,,0,12081
+11.80,+20.00,+4.42,33,,,,0,5578
,,,5,,,,,445
+2.30,+5.95,+2.89,491,,,,1,11720
+4.00,+24.18,+6.06,56,,,,9,7447
+7.42,+41.48,+15.23,40,,,,0,1655
+0.87,+9.78,+8.98,34,,,,0,6724
,,,2,,,,,565
,,,1,,,,0,10850
+3.69,+14.06,+11.10,40,-5.95,,,13,8844
+3.64,+45.28,+10.36,28,,,,4,7920
-1.77,+40.45,+13.22,21,,,,1,936
-0.73,+4.39,+3.81,135,-8.33,-18.99,+4.71,42,11082
+3.61,+29.52,+9.84,216,-3.63,+4.30,+3.49,17,9111
0.00,+9.81,+5.12,74,+2.47,+4.76,+6.43,56,11227
-0.65,+0.53,+0.64,42,+17.14,+23.12,,23,11623
+5.82,+20.56,+4.20,104,,,,2,12040
+3.09,+24.53,+10.94,111,+2.30,+23.61,+2.57,108,6452
,,,4,,,,0,8456
-5.33,+7.25,+2.75,63,,,,0,12791
+5.59,+11.84,+7.51,119,0.00,-16.51,+7.96,29,11958
0.00,+18.18,+2.63,31,,,,0,11979
,,,11,,,,0,1527
,,,7,,,,0,7811
0.00,+20.12,+10.30,32,+1.63,+7.05,+5.21,10,2916
+9.03,+36.17,+8.53,110,,,,3,6714
+0.75,+14.53,+5.56,206,+4.71,+11.95,+4.10,45,2970
-7.05,-10.40,+2.04,19,,,,0,7996
,,,3,,,,,6301
-22.03,+4.71,+7.09,25,,,,0,1467
,,,2,,,,,8510
-6.90,,,10,,,,0,7123
+10.11,+24.23,+2.42,20,,,,0,12872
+1.28,+14.49,+2.60,53,,,,1,12724
,,,4,,,,1,10816
0.00,+4.17,+4.17,97,,,,5,6876
+3.47,+15.50,+11.46,21,,,,0,10196
+2.95,+24.76,+6.64,68,,,,0,871
0.00,+12.68,+6.10,57,,,,6,1887
,,,3,,,,,3056
,,,6,,,,,2611
+1.56,+11.66,+4.22,272,,,,6,12297
+3.99,+26.92,+9.12,71,,,,3,7802
+5.66,+43.13,+14.69,61,,,,2,544
+8.40,+36.36,+14.34,59,,,,0,1705
+2.31,+15.69,+12.09,37,,,,0,10254
,,,2,,,,,10037
-0.06,+15.97,+2.01,77,-0.42,+5.21,+3.52,53,10510
+11.15,+32.66,+8.48,52,,,,7,5310
,,,5,,,,,5240
+4.33,+16.83,+4.83,87,,,,6,6773
-1.82,+17.26,+6.70,240,+2.79,+9.49,+3.51,93,3587
-1.98,+26.28,+10.71,23,,,,0,2294
+10.65,+25.38,+1.21,29,,,,0,8348
+0.20,+11.30,+6.10,122,-3.10,-3.69,+5.62,140,10100
-1.64,+9.69,+2.90,21,,,,1,11693
+3.68,+21.89,+9.08,23,,,,0,2131
+3.92,+18.86,+9.87,54,,,,7,360
+6.76,+23.29,+7.70,115,+6.58,+17.24,,8,7103
-2.36,+42.53,+12.54,11,,,,0,1780
+0.94,+30.27,+8.68,32,,,,0,7817
-3.78,,+9.64,14,,,,0,1648
,,,5,,,,0,5907
,,,3,,,,0,2510
,,,6,,,,0,870
+5.89,+32.36,+6.17,30,,,,3,7952
-15.38,+9.09,+11.85,37,,,,2,10885
-0.86,+20.70,+5.60,47,+3.20,+3.20,+2.88,25,8054
+0.74,+4.68,+10.74,13,,,,0,9153
+6.06,+15.91,+7.83,41,,,,0,10761
,,,0,,,,,9317
,,,2,,,,0,3686
+4.62,+25.00,+11.38,122,+1.05,+21.52,+11.78,34,2571
+0.30,+16.87,+6.12,51,-14.29,+8.07,,9,8316
+9.67,+29.53,+9.82,24,,,,2,3571
-0.23,+10.26,+4.67,244,0.00,+6.40,+4.64,268,9291
+5.33,+20.15,+11.42,25,,+11.48,,7,10344
+7.36,+10.19,+12.51,10,,,,0,3548
